Geo,Percent of Plays
United States,0.43
Kenya,0.3
Germany,0.06
Nigeria,0.06
Zimbabwe,0.04
India,0.03
South Africa,0.02
Spain,0.008869179600886918
Switzerland,0.0066518847006651885
United Kingdom,0.0066518847006651885
South Korea,0.0066518847006651885
Botswana,0.0066518847006651885
Egypt,0.004434589800443459
France,0.004434589800443459
Malawi,0.004434589800443459
Netherlands,0.0022172949002217295
Denmark,0.0022172949002217295
Sweden,0.0022172949002217295
Nepal,0.0022172949002217295
Australia,0.0022172949002217295
Ghana,0.0022172949002217295
